Date,Product_ID,Product_Name,Product_Category,Model_Series,Units_Sold,Revenue_INR,Region,State,City,Online_Offline,Store_Name,Discount_Percent,Stock_Available,Review_ID,Platform,Customer_ID,Sentiment_Label,Star_Rating,Return_Product,Return_Reason,Keywords_Extracted,Review_Text,Helpfulness_Votes
2024-08-07,LPT-1001,Galaxy Book 1,Laptop,Galaxy Book,430,9481930,East,Assam,Guwahati,Offline,UniverCell,10,28,R95415,,C82341,Positive,4,,,screen,Leg real play learn upon point. positive experience with screen.,7
2025-01-20,LED-T-1004,LED TV T Series 4,LED TV,T Series,284,14833036,East,Bihar,Patna,Online,,15,38,R29977,Amazon,C70549,Positive,4,No,,sound,Other example site. positive experience with sound.,9
2025-03-01,EBR-1004,Galaxy Buds 4,Earbuds,Galaxy Buds,122,2224060,North,Delhi,New Delhi,Online,,5,161,R42762,Samsung.com,C26752,Neutral,3,Yes,Fill moment growth forward walk.,fit,Range social whole join either price more. neutral experience with fit.,60
2025-03-12,MSE-1003,Mouse Samsung Mouse 3,Mouse,Samsung Mouse,129,4711467,Central,Madhya Pradesh,Indore,Offline,Poorvika,20,127,R45215,,C44836,Positive,4,,,USB,Education movement indeed instead. positive experience with USB.,6
2025-03-04,SPK-1004,Speaker Sound Tower 4,Speaker,Sound Tower,347,5117903,Central,Chhattisgarh,Raipur,Offline,Big C,0,51,R37152,,C16902,Negative,2,,,sound,Specific end bill process hospital big anything. negative experience with sound.,33
2025-03-21,MON-1001,Desktop Monitor ViewFinity 1,Desktop Monitor,ViewFinity,591,21650694,West,Maharashtra,Nagpur,Offline,UniverCell,15,81,R52679,,C69039,Positive,5,,,color,Easy exist sport energy PM. positive experience with color.,86
2025-03-07,MON-1005,Desktop Monitor ViewFinity 5,Desktop Monitor,ViewFinity,527,24808525,South,Telangana,Hyderabad,Offline,Poorvika,20,129,R35961,,C63295,Positive,5,,,stand,Wait school billion fear. positive experience with stand.,50
2025-02-05,SPK-1001,Speaker Sound Tower 1,Speaker,Sound Tower,623,3997168,Central,Chhattisgarh,Raipur,Offline,Poorvika,10,126,R29499,,C47546,Neutral,3,,,connectivity,Recently how consumer place mouth do particular. neutral experience with connectivity.,90
2025-04-20,FRZ-1001,Refrigerator Smart Fridge 1,Refrigerator,Smart Fridge,316,5633332,South,Tamil Nadu,Chennai,Offline,UniverCell,5,60,R73082,,C44317,Negative,1,,,space,Man finally budget care simple Mr. negative experience with space.,29
2024-09-24,MSE-1005,Mouse Samsung Mouse 5,Mouse,Samsung Mouse,469,28086534,East,Bihar,Patna,Offline,Poorvika,0,196,R15562,,C41868,Negative,2,,,click,Wrong financial he help alone. negative experience with click.,31
2025-02-10,SSD-1004,SSD EVO Series 4,SSD,EVO Series,525,16852500,East,West Bengal,Kolkata,Offline,UniverCell,5,58,R14070,,C85591,Positive,4,,,storage,Middle list about during move behind. positive experience with storage.,86
2025-06-10,PHN-1003,Galaxy M 3,Smartphone,Galaxy M,658,25448150,East,West Bengal,Kolkata,Offline,Sangeetha,20,157,R79049,,C40568,Positive,5,,,camera,Among woman size probably goal. positive experience with camera.,37
2024-10-02,EBR-1002,Galaxy Buds 2,Earbuds,Galaxy Buds,444,3690084,Central,Madhya Pradesh,Indore,Offline,Lot Mobiles,0,124,R10941,,C89587,Positive,4,,,battery,Stage process magazine statement specific enjoy this. positive experience with battery.,30
2024-09-27,EBR-1002,Galaxy Buds 2,Earbuds,Galaxy Buds,173,2841179,North,Delhi,New Delhi,Offline,Vijay Sales,20,32,R63805,,C56369,Positive,5,,,sound,Several price cover they month piece. positive experience with sound.,13
2025-05-29,TAB-1003,Galaxy Tab 3,Smart Tablet,Galaxy Tab,553,14280672,North,Punjab,Amritsar,Offline,Croma,10,15,R77446,,C89218,Negative,1,,,portability,People difficult number director indicate call city food. negative experience with portability.,27
2025-01-28,TAB-1003,Galaxy Tab 3,Smart Tablet,Galaxy Tab,635,37226240,East,Odisha,Bhubaneswar,Online,,20,42,R96660,Flipkart,C46426,Positive,4,Yes,Value dream maybe act at discuss.,apps,Power hard walk arrive treatment. positive experience with apps.,18
2024-09-06,LPT-1003,Galaxy Book 3,Laptop,Galaxy Book,145,8606040,North,Punjab,Amritsar,Online,,0,167,R15240,Amazon,C77293,Positive,5,Yes,Professional whose activity.,screen,On eat effect entire. positive experience with screen.,36
2024-12-20,PHN-1003,Galaxy M 3,Smartphone,Galaxy M,323,17211378,Central,Madhya Pradesh,Indore,Online,,5,168,R60716,Samsung.com,C41635,Negative,1,Yes,Network image fear main.,battery,Particularly deal girl care common democratic. negative experience with battery.,62
2024-09-17,SPK-1004,Speaker Sound Tower 4,Speaker,Sound Tower,590,3547670,North,Delhi,New Delhi,Offline,Reliance Digital,10,131,R36566,,C34355,Positive,5,,,sound,He a game concern. positive experience with sound.,100
2024-11-18,SSD-1004,SSD EVO Series 4,SSD,EVO Series,685,20994565,Central,Chhattisgarh,Raipur,Offline,Poorvika,15,137,R74428,,C74302,Negative,2,,,fast,Congress upon receive discuss change. negative experience with fast.,91
2025-04-06,EBR-1002,Galaxy Buds 2,Earbuds,Galaxy Buds,662,19221170,Central,Chhattisgarh,Raipur,Online,,10,55,R84022,Amazon,C17087,Positive,4,Yes,Approach plan rule.,sound,Theory thus would. positive experience with sound.,44
2024-08-08,PHN-1003,Galaxy M 3,Smartphone,Galaxy M,774,17586054,Central,Madhya Pradesh,Indore,Online,,10,176,R84238,Amazon,C51253,Neutral,3,No,,camera,Modern miss girl receive necessary politics enjoy focus. neutral experience with camera.,19
2024-11-14,LPT-1005,Galaxy Book 5,Laptop,Galaxy Book,68,2923864,Central,Chhattisgarh,Raipur,Online,,0,133,R35964,Amazon,C20547,Negative,2,Yes,List game community attorney provide prove.,speed,Example past how knowledge. negative experience with speed.,65
2025-01-23,TAB-1001,Galaxy Tab 1,Smart Tablet,Galaxy Tab,376,8405856,North,Punjab,Ludhiana,Offline,Reliance Digital,20,113,R13374,,C51585,Positive,5,,,battery,Something argue draw. positive experience with battery.,82
2024-07-23,TAB-1002,Galaxy Tab 2,Smart Tablet,Galaxy Tab,51,645660,Central,Chhattisgarh,Raipur,Offline,Lot Mobiles,0,66,R32437,,C11433,Negative,1,,,note-taking,Hope TV especially step blue company war. negative experience with note-taking.,98
2024-12-08,KYB-1003,Keyboard Samsung Keys 3,Keyboard,Samsung Keys,220,5454900,South,Kerala,Kochi,Offline,Reliance Digital,20,42,R14420,,C99336,Positive,5,,,typing,Total piece land easy thank focus compare. positive experience with typing.,8
